name,shorter_name,level,category,impact,text,text_source,progress,progress_text,progress_source,button_text,icon_name
Reduce & Reuse,Reduce & Reuse,2,import,5,"Another way to reduce emissions is to reduce consumption, repairing and buying second hand products. If everybody bought second hand cloth instead of buying new cloth, Switzerland's annual emissions would be reduced by {impact} megatons.",https://www.swissinfo.ch/eng/sci-tech/why-switzerland-is-struggling-to-ditch-fast-fashion/48452620,24,"{progress}% of people in Switzerland have bought second-hand cloth in the last year. ",https://www.statista.com/forecasts/1348674/most-common-second-hand-purchases-by-category-in-switzerland,I try to buy second-hand items whenever possible,Reduce
Offset Consumption,Offset Consumption,3,import,5,"Carbon offsetting has received some bad press in recent years because there have been many fraudulent offseting companies. However, offsetting emissions can make a huge difference if you chose a trustworthy provider. In Switzerland myClimate is a trustworthy provider. The biggest problem with offsetting is that you pay for projects that prevent more GHG to go into the atmosphere, not to remove it. So you do not really offset your emissions. You just pay to make things worse by preventing others to emit. Usually caron is offset in a developing countries because smaller investments have a higher impact. If everybody offst their emissions we could reduce imported emissions by {impact} megatons",https://www.myclimate.org/en/information/faq/faq-detail/who-produces-co2/#,,The number of people who offset emissions is not tracket in Switzerland,,,Offset
Boycott Climate Offenders,Boycott Offenders,1,industry,10,"The organisation Climate Action 100+ has identified 170 companies that are key in driving the worlds GHG emissions to zero. If these companies reduced emissions to zero, we could cut industry emissions in half. However, only 17% of them have the goal to do so. If all of them did, Switzerland's annual emissions would be {impact} megatons lower. ",https://www.climateaction100.org/whos-involved/companies/?search_companies&company_region=europe,17,"{progress}% of companies monitored by Climate Action 100+ have net-zero targets ",https://www.climateaction100.org/wp-content/uploads/2023/01/CA-100-Progress-Update-2022-FINAL-2.pdf,I boycott companies with a bad climate rating,ClimateScore_red
Buy only climate-friendly,Climate-friendly,2,industry,15,"Even though there are almost no climate-neutral companies in Switzerland (and the world) yet. Almost half of G20 companies in terms of revenue have joined the ""race to zero"" initiatives and pledged to half their emissions by 2030. If these companies really halved their emissions, Switzerland's annual emissions would be {impact} lower. ",https://racetozero.unfccc.int/system/race-to-zero/,49,{progress}% of companies joined the race to zero initiative.,https://www.pwc.ch/en/publications/2021/ch-net-zero-economy-index-2021.pdf,I only buy from climate-friendly companies,ClimateScore_yellow
Buy only climate-neutral,Climate-neutral,3,industry,20,"Swiss companies are responsible for almost half of Switzerland's emissions. If all Swiss companies were climate-neutral, we could reduce annual emissions by {impact} megatons per year. Unfortunately only very few are climate-neutral. In fact most don't even report their emissions. If all companies in Switzerland were climate-neutral, annual emissions would be {impact} lower. ",https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-91859.html,1,{progress}% of large companies report GHG emissions,https://www.kmu.admin.ch/kmu/en/home/concrete-know-how/facts-and-figures/figures-smes/companies-and-jobs.html,I only buy from climate-neutral companies,ClimateScore_green
Follow Innovation,Follow Innovation,1,innovation,,"If we want to reach net-zero, innovation will contribute significantly to achieving this goal. Thanks to innvoation, solar energy is today not only a source of cean and renewable energy, it is also the cheapest source of energy. Other inventions such as hydrogen fuel, direct air capture or advanced batteries all have the potential to substantially boost the green transition. It is important to support innovation, even if it is just by following it.",https://theconversation.com/direct-air-capture-how-advanced-is-technology-to-suck-up-carbon-dioxide-and-could-it-slow-climate-change-189260,0.1,{progress}% of global emissions are removed by direct air capture,https://www.swissinfo.ch/eng/business/can-co2-capture-and-removal-help-solve-the-climate-crisis--/47479304,I follow green innovation,FollowInnovation
Support Innovation,Support Innovation,2,innovation,,Better than following the latest climate change fighting innovation is to support it in some way. For example by supporting projects on crowdfunding platforms such as Rasie Green,https://www.raisegreen.com,83,{progress}% of UN Green Climate Fund financed,https://www.oecd.org/climate-change/finance-usd-100-billion-goal/,I crowdfund climate innovation,SupportInnovation
Innovate yourself,Innovate,3,innovation,,"What about becoming an innovator yourself, for example by following a career in research and advancing green technologies or by starting a business or ngo that fights climate change? ",,11,{progress}% of private equity is invested in climate-tech,https://www.pwc.com/gx/en/issues/esg/state-of-climate-tech-2023-investment.html,I'm a climate change innovator,InnovateYourself
No (Fossil) Investments,No Fossil Invest,1,money,,"Switzerland's emissions are only 0.1% of global emissions. However, McKinsey estimates that Switzerland as a financial center is indirectly responsible for 2 - 3% of global emissions. Most people are unaware that their investments can have a huge indirect impact on emissions. For example, there are zero coal power plants in Switzerland. However, 80% of banks and asset managers in Switzerland invest in coal power plants in other countries. ","https://www.swissinfo.ch/eng/business/study-reveals-full-extent-of-swiss-co2-emissions/47741404#:~:text=Domestic%20CO2%20emissions%20in%20Switzerland,firm%20published%20on%20July%2010.",20,"{progress}% of Swiss banks and asset managers do not invest in coal power plants. ",https://www.swissinfo.ch/eng/sci-tech/swiss-investors-still-leaning-heavily-on-fossil-fuels/46150250,I don't invest (in fossil fuel companies),NoFossilInvestments
Green Finances,Green Finance,2,money,,"WWF regularly ranks Swiss banks. In their latest report only 46% had an acceptable rating. ",https://www.wwf.ch/sites/default/files/doc-2021-09/Sustainability%20in%20the%20Swiss%20retail%20banking%20sector%20-%20ENG.pdf,46,{progress}% of Swiss banks have a green rating by WWF,https://www.wwf.ch/sites/default/files/doc-2021-09/Sustainability%20in%20the%20Swiss%20retail%20banking%20sector%20-%20ENG.pdf,My bank has a green rating,GreenFinance
Green Investmets,Green Invest,3,money,,"If you have money to invest, you can invest in companies companies that positively impact the transition to a net-zero economy.",,53,{progress}% of investment funds in Switzerland only have sustainable investments,https://marketstudy2022.sustainablefinance.ch/downloads/SSF_2022_MarketStudy.pdf,I actively invest in green companies,GreenTransition
Protect Ecosystems,Protect Nature,1,nature,0,Switzerland's ecosystem (mostly forests) remove 2 megatons of emissions every year. It is therefore important to keep these ecosystems protected.,https://www.bafu.admin.ch/bafu/en/home/topics/climate/state/data/greenhouse-gas-inventory.html,15,"{progress}% of land in Switzerland is protected. ",https://www.swisstopo.admin.ch/en/home.detail.news.html/swisstopo-internet/news2018/didyouknow/180730.html,I support an organisation that protects ecosystems.,ProtectEcosystems
Restore Ecosystems,Restore Nature,2,nature,2," The UN Convention on Biological Diversity (CBD) calls on countries to protect at least 30% of nature. Doubling ecosystems in Switzerland would double the amount of emissions that is reduced by nature every year. ",https://www.un.org/sustainabledevelopment/blog/2021/07/a-new-global-framework-for-managing-nature-through-2030-1st-detailed-draft-agreement-debuts/,15,"{progress}% of land in Switzerland is protected. ",https://www.swisstopo.admin.ch/en/home.detail.news.html/swisstopo-internet/news2018/didyouknow/180730.html,"I support an organisation that fights to protect more land. ",CreateEcosystems
Leave Half to Nature,Half to Nature,3,nature,4,"The organisation ""Nature Needs Half"" wants to leave 50% of earth to nature. Such a measure would reduce global emissions by 10%. In Switzerland it woluld remove {impact} megatons of emissions every year. ",https://www.bafu.admin.ch/bafu/en/home/topics/climate/state/data/greenhouse-gas-inventory.html,15,"{progress}% of land in Switzerland is protected. ",https://www.swisstopo.admin.ch/en/home.detail.news.html/swisstopo-internet/news2018/didyouknow/180730.html,"I support the organisation ""Nature Needs Half""",HalfEarth
No Flying,No Flying,1,transport,1,"If nobody in Switzerland ever traveled by plane, annual emissions would be {impact} megatons lower. However, because planes release green house gases much higher up in the atmosphere, the actual impact on global warming is actually much bigger. ",https://www.bafu.admin.ch/bafu/en/home/topics/climate/state/data/greenhouse-gas-inventory.html,,"There is no reliable source for the number of people in Switzerland who boycott flying. ",,I never fly,NoFlying
Electric Car,Electric Car,2,transport,5,"If everybody in Switzerland who owns a car, drove an electric car, annual emissions would be {impact} megatons lower. ",https://www.bafu.admin.ch/bafu/en/home/topics/climate/state/data/greenhouse-gas-inventory.html,4,{progress}% of all cars in Switzerland are electric.,"https://www.bfs.admin.ch/bfs/en/home/statistics/mobility-transport/transport-infrastructure-vehicles/vehicles/road-vehicles-stock-level-motorisation.html#:~:text=Passenger%20cars%20accounted%20for%20around,of%20electric%20vehicles%20at%206.8%25.",My household owns an electric car,eCar
No Car,No Car,3,transport,10,"If everybody in Switzerland used public and active transport, annual emissions would be {impact} megatons lower. ",https://www.bafu.admin.ch/bafu/en/home/topics/climate/state/data/greenhouse-gas-inventory.html,31,{progress}% of people in Switzerland live in a household that does not own a car.,https://www.statista.com/forecasts/1348547/car-ownership-in-switzerland,My household does not own a car,Bicycle
Recycling,Recycling,1,trash,0,"Switzerland is a world chamion in recycling. 94% of glass and aluminium, 86% of steel and 82% of plastic bottles are recycled. So almost everybody is already recyclling. Increasing that number to 100% would reduce emissions by much less than {impact} megaton. ",https://www.bafu.admin.ch/bafu/en/home/topics/climate/state/data/greenhouse-gas-inventory.html,82,"{progress}% of plastic bottles are recycled. ",https://www.eda.admin.ch/aboutswitzerland/en/home/umwelt/natur/recycling.html,"I recycle everything I can. ",Recycling
Composting,Composting,2,trash,0,"Almost half of bio waste is composted. Burning bio waste instead of composting it does increase emissions. However, by much less than {impact} megaton. ",https://www.bafu.admin.ch/bafu/en/home/topics/climate/state/data/greenhouse-gas-inventory.html,49,"{progress}% of biogenic waste is composted. ",https://www.eda.admin.ch/aboutswitzerland/en/home/umwelt/natur/recycling.html,"In my household bio waste is composted. ",Compost
Zero Waste,Zero Waste,3,trash,1,"There are more and more people who adopt a zero waste lifestyle. This is great but residential trash only is responsible for 1 megaton of GHG emissons. If every houlsehold produced zero waste,, we could reduce annual emissions by {impact} megatons per year.",https://www.bafu.admin.ch/bafu/en/home/topics/climate/state/data/greenhouse-gas-inventory.html,,The number of zero waste households in Switzerland is not tracked.,,"Our household produces zero waste. ",ZeroWaste
