solution,title,source,url
Follow Innovation,Our Hydrogen Future: Sustainable and Abundant,TEDx,https://www.youtube.com/embed/P2pZZcdUU0s
Follow Innovation,Climeworks: Removing CO₂ from the air,Climeworks,https://www.youtube.com/embed/fYd4W2Cwo1o
Support Innovation,Chasing Hydrogen,TEDx,https://www.youtube.com/embed/1H40tJp_Za4
Support Innovation,Capture Carbon Dioxide from the air to Save a Warming Planet,TEDx,https://www.youtube.com/embed/F7Xc30xGVzs
Support Innovation,How Green Hydrogen Could End The Fossil Fuel Era,TEDx,https://www.youtube.com/embed/9OLxBvLvCoM
Support Innovation,The Massive Machines Removing Carbon from Earth's Atmosphere,TEDx,https://www.youtube.com/embed/T6WSy0FdBdU
Support Innovation,What You Need to Know About Carbon Removal,TEDx,https://www.youtube.com/embed/60e6u_1TEIs
Support Innovation,The untapped potential of hydrogen,TEDx,https://www.youtube.com/embed/6BZpPe7a0IM
Innovate yourself,Bill Gates: The innovations we need to avoid a climate disaster,TEDx,https://www.youtube.com/embed/rhNxDp8e7p8
Innovate yourself,Young People are the Solution to Climate Change,TEDx,https://www.youtube.com/embed/wvitLULPAqc
Innovate yourself,Designing Innovative Solutions to Climate Change,TEDx,https://www.youtube.com/embed/NQmJon3k7LM
Innovate yourself,Economics of climate change innovation,TEDx,https://www.youtube.com/embed/SEjNVWV5jbs
Innovate yourself,Innovating to zero!,TEDx,https://www.youtube.com/embed/JaF-fq2Zn7I
Innovate yourself,A simple and smart way to fix climate change,TEDx,https://www.youtube.com/embed/0k2-SzlDGko
Green Investmets,Sustainable Investing,Ben Felix,https://www.youtube.com/embed/weVAN2HxXjk
Green Investmets,HOW TO INVEST SUSTAINABLY,Gittermary Johansen,https://www.youtube.com/embed/HKmCoJucT9o
Green Investmets,Avoiding the greenwashers,Financial Times,https://www.youtube.com/embed/TLisX5rC6RE
Green Investmets,Sustainable Investing,TEDx,https://www.youtube.com/embed/fno1QIuA6EQ
Green Investmets,Is sustainable investing just a marketing ploy?,CNBC,https://www.youtube.com/embed/Qd2D-0lQ36E
Green Investmets,green investing,GreenTV,https://www.youtube.com/embed/k03VLqFZvvU
Green Investmets,Green Investments Unveiled,Financeally Investing,https://www.youtube.com/embed/9vKb14N1LT0
Green Finances,Green Finance,Swiss Learning Exchange,https://www.youtube.com/embed/GAKdQvkgM7U
Green Finances,Role of Green Banking,Connect4Climate,https://www.youtube.com/embed/czwzKZrmEK4
Green Finances,What is Green Banking?,EcoMastery Project,https://www.youtube.com/embed/_hwN2kk0jYo
Green Finances,Switch to Green Banking,HDFC Bank,https://www.youtube.com/embed/VHHjm6toANI
Green Finances,how he builds a sustainable bank,TEDx,https://www.youtube.com/embed/hw5fk-ko-k4
Green Finances,What is Green Finance?,iisdvideo,https://www.youtube.com/embed/IpIwm_BYZiQ
Green Finances,Green Banking Gaining Ground,The Business Standard,https://www.youtube.com/embed/j6hlQF9Kre8
No (Fossil) Investments,How to Stop Banks from Investing in Fossil Fuels,TEDx,https://www.youtube.com/embed/ktsuKyzihjU
No (Fossil) Investments,What the Fossil Fuel Industry Doesn't Want You To Know,TEDx,https://www.youtube.com/embed/xgZC6da4mco
No (Fossil) Investments,Our Future Is Not Fossil Fuel,Senator Bernie Sanders,https://www.youtube.com/embed/0L3xlvv9eOA
No (Fossil) Investments,Imagining a world without fossil fuels,BBC,https://www.youtube.com/embed/IaqAyc_Q9mM
No (Fossil) Investments,Fossil Fuel Free Investing,District Capital,https://www.youtube.com/embed/5a5hwyjbetI
No (Fossil) Investments,Freedom from fossil fuels is closer than you think,TEDx,https://www.youtube.com/embed/DKI_YPEF0Ls
No (Fossil) Investments,The TRUTH about fossil fuel subsidies,Just Have a Think,https://www.youtube.com/embed/2676LzY9CsU
Leave Half to Nature,Nature Needs Half: Survival Revolution,WILD Foundation,https://www.youtube.com/embed/imLBxHSsEZc
Leave Half to Nature,Nature needs half,Nature Tidbits,https://www.youtube.com/embed/6YNSuHk1geU
Leave Half to Nature,Nature Needs Half,TEDx,https://www.youtube.com/embed/irqTp21Qtf4
Leave Half to Nature,The global movement to restore nature's biodiversity,TEDx,https://www.youtube.com/embed/yJX1Te0jey0
Leave Half to Nature,How to Save the Natural World,EOWilsonBiodiversity,https://www.youtube.com/embed/2TpFXnRb3lE
Leave Half to Nature,Nature Needs Half Network,WILD Foundation,https://www.youtube.com/embed/DKfjQrGNuJc
Leave Half to Nature,Nature Needs Half presentation for the Chatham House,WILD Foundation,https://www.youtube.com/embed/aR6jhNCTkRQ
Restore Ecosystems,How the oceans can clean themselves,TEDX,https://www.youtube.com/embed/ROW9F-c0kIQ
Restore Ecosystems,Heal the golden geese; restore our damaged ecosystems,TEDX,https://www.youtube.com/embed/VhljPLeC2uI
Restore Ecosystems,Restoring is not enough: future-proofing our marine ecosystems,TEDX,https://www.youtube.com/embed/pJRjkkCnNoA
Restore Ecosystems,A new way to restore Earth's biodiversity,TEDX,https://www.youtube.com/embed/rD1Rn6vai5Q
Restore Ecosystems,Restoring the ancient Caledonian Forest,TEDX,https://www.youtube.com/embed/UDtsExXe93Q
Restore Ecosystems,What if there were 1 trillion more trees? -,TEDX,https://www.youtube.com/embed/3hxE7Af98AI
Protect Ecosystems,The ecosystem protecting coastlines & storing carbon,TEDx,https://www.youtube.com/embed/Ga4CTQpjDfc
Protect Ecosystems,How to Protect People and Planet,TEDx,https://www.youtube.com/embed/g3FAMEtVztY
Protect Ecosystems,How protecting our planet protects our health,TEDx,https://www.youtube.com/embed/Yt6_Cupvswk
Protect Ecosystems,One Earth - Environmental Short Film,TEDx,https://www.youtube.com/embed/QQYgCxu988s
Protect Ecosystems,Wildlife conservation and the art of letting go,TEDx,https://www.youtube.com/embed/GLyWIuSQaTk
Protect Ecosystems,Modern day wildlife conservation,TEDx,https://www.youtube.com/embed/BTzm6RKmaXs
Protect Ecosystems,Nature-based solutions in the fight against climate change,TEDx,https://www.youtube.com/embed/CSH63qgpGoY
No Flying,Here's how much flying contributes to climate change,CBS,https://www.youtube.com/embed/2Lb_cF9i9vE
No Flying,No flight movement: Can we stop flying?,Roundtable,https://www.youtube.com/embed/nbMNvnjJy_U
No Flying,Can flying go green,The Economist,https://www.youtube.com/embed/ldhilLgVML0
No Flying,How to reduce your carbon footprint when you fly -,BBC,https://www.youtube.com/embed/_OBD2qNFXpI
No Flying,Flying is worse for the climate than you think,Climate Adam,https://www.youtube.com/embed/Y5ny2TJl3Y8
No Flying,Can We Ever Fly Without Polluting?,George Downs,https://www.youtube.com/embed/lvu_nKcyUBI
Electric Car,Citroen's New Electric Car Is Insanely Cheap!,Fully Charged Show,https://www.youtube.com/embed/3YgDLTcH98A
Electric Car,"How Car Makers Are Switching To EVs ",CNBC,https://www.youtube.com/embed/t9GFkilCs_c
Electric Car,Who Is Winning The Global EV Race?,CNBC,https://www.youtube.com/embed/qO2d9FpBzDI
Electric Car,"Top 10 Longest Range Electric Cars 2023 ",The Auto Observer,https://www.youtube.com/embed/FTLrUgseXRQ
Electric Car,All-New Electric SUVs You Should Wait To Buy in 202,The Roadster,https://www.youtube.com/embed/IKZCsbTE6to
Electric Car,Here's how electric vehicles can cut global warming,USA Today,https://www.youtube.com/embed/1DdmMSDPPY4
Electric Car,Should you buy an electric car?,BBC,https://www.youtube.com/embed/UKttFDnKSp8
No Car,Is Public Transportation the Answer?,TEDx,https://www.youtube.com/embed/K8D9RXncGZ4
No Car,The SECRET Formula to MASTER Public TRANSIT,TEDx,https://www.youtube.com/embed/EkaTELE2zUo
No Car,A Vision for Sustainable Transportation,TEDx,https://www.youtube.com/embed/uprwEjoyeLc
No Car,Sustainable Transport: Getting Us Out of Traffic,TEDx,https://www.youtube.com/embed/314QCdI55g4
No Car,Public transport on demand,TEDx,https://www.youtube.com/embed/vi9CSSQS48A
No Car,Mobility as a Service,TEDx,https://www.youtube.com/embed/9yCrkdai2HA
Composting,Compost king: Paul Sellew,TEDx,https://www.youtube.com/embed/6eXRfynD-M8
Composting,Vermicomposting: How worms can reduce our waste,TEDx,https://www.youtube.com/embed/V8miLevRI_o
Composting,Composting - Turning Trash into Treasure,TEDx,https://www.youtube.com/embed/-rtadlKAxQM
Composting,"Composting, Local Solution to a Global Problem",TEDx,https://www.youtube.com/embed/6CIJFzOToyU
Composting,The Grassroots Guide to Worm Composting,TEDx,https://www.youtube.com/embed/S0vWgBYwgE8
Composting,Meet The Plastic-Eating Worms,BBC,https://www.youtube.com/embed/Z-HHbU0zoXk
Zero Waste,Why I live a zero waste life,TEDx,https://www.youtube.com/embed/pF72px2R3Hg
Zero Waste,Choosing a Life Without Trash,TEDx,https://www.youtube.com/embed/eDFrlV106iM
Zero Waste,"Two adults, two kids, zero waste",TEDx,https://www.youtube.com/embed/CSUmo-40pqA
Zero Waste,I wore all my trash for 30 days,TEDx,https://www.youtube.com/embed/Xay1YKpu6Nk
Zero Waste,How to reduce your waste,TEDx,https://www.youtube.com/embed/1TDC-Zud_uM
Zero Waste,ZERO WASTE - A way to enrich your life & the society,TEDx,https://www.youtube.com/embed/pgRnAsK18es
Recycling,The shocking scale of our waste,TEDx,https://www.youtube.com/embed/BTgTWLYCeOU
Recycling,Recycling to Stop E-waste,TEDx,https://www.youtube.com/embed/EDL4pJfdd9U
Recycling,Should We Trash Recycling?,TEDx,https://www.youtube.com/embed/npiZdKeybfM
Recycling,Let The Recycling Revolution Begin,TEDx,https://www.youtube.com/embed/w2Q8w9QyDqQ
Recycling,"The Tao of Reduce, Reuse, Recycle",TEDx,https://www.youtube.com/embed/9f-Xj44Oo3c
